Country,YearBuilt,Type,Length_m,BrandPrestige,Price_USD
Italy,2022,Motor,40.29,4,6068311.56
Other,2022,Motor,10.68,4,153435.74
France,2019,Motor,29.41,3,1528324.02
Other,2024,Motor,43.57,2,4196115.37
Spain,2022,Motor,25.52,1,756232.5
USA,2022,Motor,65.04,5,20643781.54
France,2022,Motor,16.19,3,404928.49
Greece,2023,Motor,40.03,4,4093537.19
USA,2024,Motor,33.49,4,3379123.35
France,2018,Motor,68.63,3,12000317.39
Germany,2024,Motor,64.66,2,11423501.37
Other,2020,Motor,13.91,3,204606.31
Italy,2019,Motor,36.84,3,2865070.97
Other,2023,Motor,26.63,3,1115543.22
Other,2023,Motor,36.36,1,1884020.89
Other,2021,Motor,30.17,2,1392073.98
USA,2024,Sailing,39.58,4,4161096.08
Italy,2021,Sailing,27.11,4,1443811.65
Other,2020,Motor,37.33,4,3142897.44
Turkey,2024,Motor,15.74,4,428778.53
USA,2024,Motor,8.58,4,110216.61
USA,2021,Motor,18.35,4,660493.76
Other,2023,Motor,18.35,3,489484.84
Italy,2022,Motor,22.38,4,1189777.1
Spain,2023,Motor,33.78,2,1970651.67
Other,2021,Motor,23.02,2,627416.95
Greece,2023,Motor,34.14,5,3423214.9
Italy,2023,Motor,28.5,4,2361108.25
UK,2023,Motor,25.66,2,1110114.04
Other,2024,Motor,27.81,5,2481432.52
France,2021,Sailing,44.54,2,3853115.63
Italy,2023,Sailing,28.77,5,2771597.05
Other,2023,Motor,42.46,2,3553747.72
Spain,2019,Motor,12.56,2,115769.75
Greece,2018,Sailing,36.98,2,1588929.55
USA,2023,Motor,45.67,3,5410004.62
Other,2023,Sailing,24.05,2,708396.83
Other,2022,Sailing,38.94,3,2356279.75
Italy,2021,Motor,38.02,4,4352629.75
UK,2018,Motor,25.91,1,701965.55
UK,2020,Motor,25.15,2,760745.8
Italy,2021,Sailing,30.87,5,2585757.53
Italy,2021,Motor,74.58,5,28975397.92
USA,2021,Motor,41.42,4,5211256.95
Other,2018,Motor,9.61,1,47723.03
Germany,2019,Motor,27.42,3,1169231.48
Netherlands,2024,Motor,36.87,1,2447422.77
Other,2022,Sailing,43.05,1,2095804.62
Turkey,2020,Motor,27.46,3,1060508.17
Greece,2023,Sailing,38.46,2,2428011.74
Other,2024,Sailing,28.3,2,1051175.65
Germany,2023,Motor,12.03,1,131743.97
Italy,2023,Motor,33.19,2,2483799.82
UK,2021,Motor,74.09,2,13896937.29
Other,2021,Motor,11.43,1,92558.04
Greece,2021,Motor,83.46,3,19437655.52
Other,2020,Catamaran,31.81,3,1637892.84
Spain,2022,Motor,31.05,2,1381749.17
Spain,2021,Motor,12.22,3,153715.26
Turkey,2024,Sailing,37.41,2,2029213.8
Spain,2020,Catamaran,36.36,2,1898092.64
Italy,2023,Motor,94.67,3,37754194.24
Spain,2021,Motor,16.67,2,314631.71
France,2022,Sailing,33.41,3,2230268.96
Italy,2024,Motor,47.79,1,5012485.26
Germany,2023,Motor,10.19,2,102877.43
Other,2018,Catamaran,28.84,1,790442.97
Other,2023,Motor,39.76,4,4171444.66
France,2018,Motor,31.98,1,1276445.08
Other,2018,Catamaran,26.54,3,903406.88
Italy,2021,Motor,9.93,4,153505.3
Turkey,2024,Motor,37.81,5,4159444.8
Italy,2024,Motor,37.5,1,3046913.64
USA,2023,Sailing,35.4,2,2101284.91
Netherlands,2019,Motor,16.48,2,703036.84
Italy,2020,Motor,17.75,1,356566.45
Italy,2021,Motor,40.78,5,6055822.98
Other,2021,Catamaran,15.62,3,309012.12
Italy,2019,Motor,42.83,5,5809266.89
Netherlands,2019,Motor,32.2,5,2249408.84
USA,2021,Motor,16.75,2,358010.31
Other,2020,Motor,26.47,4,1067214.96
UK,2023,Motor,39.26,2,3559988.15
Netherlands,2021,Motor,13.22,2,165817.05
Italy,2021,Motor,36.9,1,2016168.95
Other,2022,Motor,43.19,3,3834380.47
Italy,2020,Motor,32.43,1,1532426.42
UK,2024,Sailing,18.58,4,645490.97
Netherlands,2018,Motor,12.78,4,227743.06
Italy,2024,Sailing,36.33,5,4906478.98
USA,2019,Motor,27.94,4,1519370.92
Turkey,2023,Motor,28.72,3,1453461.7
USA,2018,Motor,44.16,3,4138383.49
France,2023,Motor,33.79,3,2507980.87
France,2020,Motor,43.79,5,6628884.2
Other,2020,Catamaran,27.95,2,1091725.24
UK,2024,Motor,48.31,5,10013009.62
Other,2023,Motor,27.42,3,1233234.76
Other,2022,Motor,11.0,5,212464.96
UK,2020,Motor,22.86,3,843365.67
Italy,2020,Motor,87.92,4,30091458.05
Turkey,2023,Sailing,34.05,2,1319071.63
USA,2019,Sailing,13.08,2,155031.82
Italy,2019,Sailing,37.45,3,2577136.19
Netherlands,2021,Sailing,33.85,3,2398918.19
USA,2022,Motor,26.21,1,759505.9
Other,2021,Motor,24.55,5,1454820.5
Netherlands,2021,Motor,16.72,1,295243.97
Other,2020,Motor,25.03,4,842775.36
USA,2023,Motor,31.06,2,2025505.0
Turkey,2024,Sailing,28.54,4,1582766.26
Spain,2023,Motor,44.04,1,3393714.15
Germany,2023,Motor,32.39,5,3230823.99
Germany,2023,Motor,75.51,5,32519764.1
Netherlands,2021,Catamaran,27.74,5,2047699.86
Turkey,2019,Motor,25.5,4,980769.72
Germany,2024,Motor,67.67,4,19158842.94
USA,2023,Motor,42.31,2,3736502.17
Germany,2023,Motor,41.66,5,6332189.15
Germany,2018,Motor,32.06,3,1801879.7
Italy,2023,Motor,29.97,1,1388178.73
Other,2023,Motor,33.37,4,2556659.75
Turkey,2024,Motor,44.41,2,3646464.74
Greece,2023,Motor,30.29,2,1252321.06
UK,2024,Motor,7.06,5,90815.67
Italy,2022,Motor,25.3,5,2234937.19
UK,2020,Motor,48.4,2,4253012.67
Other,2023,Sailing,14.23,4,245998.38
Spain,2020,Motor,79.39,2,16120651.87
Other,2019,Motor,39.97,5,3730033.16
Greece,2018,Motor,27.26,4,1118292.67
USA,2024,Motor,9.48,2,96128.17
France,2023,Motor,44.03,4,5702168.12
Other,2024,Motor,14.63,4,358873.03
Turkey,2024,Motor,32.37,5,3695862.49
Other,2021,Motor,15.88,2,296812.29
Italy,2024,Motor,31.02,3,2319481.82
France,2024,Motor,38.1,2,3134697.18
USA,2023,Sailing,23.31,2,768175.89
USA,2022,Motor,41.57,4,5439010.94
Netherlands,2021,Motor,91.67,3,27559298.78
France,2019,Sailing,45.76,4,5198390.62
Germany,2019,Motor,7.65,1,79741.76
Greece,2022,Motor,6.27,1,21476.67
Italy,2020,Motor,26.15,3,1301621.66
USA,2024,Motor,33.58,3,3132207.67
France,2021,Sailing,27.31,3,1256230.8
Netherlands,2019,Motor,11.49,4,166422.97
Italy,2023,Motor,37.57,4,3978271.61
Italy,2023,Motor,45.3,3,6511247.61
USA,2024,Sailing,32.76,4,2624993.94
USA,2018,Sailing,44.36,1,2257484.86
Other,2021,Catamaran,29.4,2,1153435.21
Italy,2021,Motor,41.26,1,3084220.24
Italy,2024,Motor,40.33,3,4329144.3
Greece,2023,Motor,15.4,3,297482.03
Other,2023,Sailing,38.08,5,4302530.41
UK,2019,Motor,29.05,2,1154125.61
Other,2022,Motor,15.75,2,252134.04
UK,2023,Motor,43.78,4,5611830.22
Germany,2020,Motor,44.45,4,4685777.3
USA,2018,Motor,25.62,2,883252.17
Germany,2021,Sailing,39.89,4,3046053.19
USA,2022,Motor,19.98,2,626846.53
Other,2020,Motor,25.45,2,820811.91
Spain,2020,Motor,6.2,4,37804.06
Other,2022,Motor,37.61,3,2905225.65
Greece,2021,Motor,36.94,5,3911392.2
USA,2024,Catamaran,28.61,1,1341637.0
Germany,2023,Motor,67.51,4,18672341.7
USA,2023,Motor,15.87,3,460587.48
Other,2019,Motor,40.99,4,3150411.76
USA,2022,Motor,70.75,3,20426563.16
Italy,2021,Motor,46.49,4,7004647.47
USA,2023,Motor,20.9,5,1288448.63
Other,2022,Sailing,10.69,1,69714.72
USA,2020,Motor,28.35,1,969875.48
Greece,2024,Motor,29.79,2,1427738.6
Netherlands,2023,Motor,17.33,1,336578.26
Other,2019,Motor,36.27,4,2565346.77
USA,2022,Motor,34.19,2,2071540.25
Italy,2021,Motor,38.34,4,4044250.26
Other,2024,Sailing,34.79,4,2796981.26
France,2024,Motor,61.49,3,11990959.88
Other,2019,Motor,37.89,2,2044143.28
Turkey,2023,Motor,30.57,2,1456706.62
Other,2024,Motor,11.24,4,177092.35
Italy,2022,Sailing,38.46,2,2788437.12
USA,2018,Sailing,42.51,2,2526236.84
Netherlands,2019,Motor,60.2,2,7557020.19
France,2023,Motor,36.94,5,5172476.25
Turkey,2024,Motor,8.86,2,80736.16
France,2022,Motor,13.72,3,263958.22
USA,2018,Motor,6.69,4,43107.76
USA,2021,Sailing,23.76,4,954686.77
Germany,2022,Sailing,25.38,4,1342854.46
Netherlands,2018,Catamaran,27.96,3,1153088.97
Netherlands,2024,Sailing,59.71,3,10640088.47
Other,2020,Motor,12.2,2,134836.02
Other,2024,Motor,21.85,1,578311.01
Other,2021,Motor,12.59,3,153088.11
Greece,2022,Sailing,21.67,1,435786.88
Turkey,2024,Sailing,19.61,2,381819.77
Netherlands,2021,Sailing,16.29,3,316729.64
UK,2021,Motor,13.65,5,337481.25
Greece,2023,Sailing,38.14,5,3595521.79
Other,2023,Motor,27.37,5,1963578.52
Italy,2022,Motor,15.22,3,316806.79
Other,2024,Motor,62.16,1,8053176.03
Germany,2021,Motor,36.55,3,2837611.27
Netherlands,2021,Sailing,26.69,3,1131728.92
Other,2020,Motor,31.54,3,1625649.43
Other,2023,Motor,12.66,2,161961.29
UK,2024,Motor,33.35,1,2041917.12
Italy,2021,Motor,44.44,4,6126246.86
USA,2019,Motor,39.74,1,2038742.33
Other,2018,Motor,18.31,3,345810.15
France,2023,Catamaran,18.41,5,890489.67
Turkey,2023,Motor,39.63,4,4011340.33
Other,2022,Sailing,43.3,2,2829190.17
Netherlands,2022,Motor,9.81,1,86139.82
Other,2021,Motor,44.16,5,6883842.35
Other,2018,Motor,23.61,5,1037875.29
UK,2020,Motor,28.2,2,1358785.3
Italy,2021,Motor,15.26,3,335107.37
USA,2018,Sailing,58.1,5,10527992.44
Italy,2022,Motor,14.17,1,228307.24
Netherlands,2018,Motor,36.33,2,1803708.19
Turkey,2022,Motor,44.17,2,3566958.84
Other,2024,Motor,42.41,1,3118936.22
France,2021,Motor,28.23,3,1388764.18
Greece,2019,Motor,33.17,4,2266311.67
UK,2020,Sailing,58.05,3,6870655.24
Germany,2024,Motor,28.13,4,2290509.31
Italy,2024,Motor,136.6,4,109644566.54
Other,2020,Motor,33.55,2,1704245.03
Other,2023,Sailing,20.49,4,668541.01
Other,2024,Motor,16.72,2,375869.17
Germany,2022,Motor,33.58,2,2079477.67
USA,2023,Motor,26.56,1,1078981.32
Italy,2023,Motor,29.96,3,1961113.11
Italy,2020,Motor,35.96,2,2563996.51
Italy,2024,Motor,26.39,1,1038780.22
Netherlands,2024,Motor,16.01,2,422827.22
Other,2023,Motor,50.04,2,5206946.24
Germany,2023,Motor,16.2,2,363526.41
Italy,2019,Sailing,53.62,3,6995902.25
Other,2019,Motor,30.09,1,1006878.3
Spain,2022,Motor,37.14,3,2859578.3
Italy,2020,Motor,19.82,3,683410.73
Spain,2024,Motor,38.45,4,4220649.59
Italy,2023,Motor,41.02,4,5604912.29
UK,2019,Motor,37.34,4,3530640.56
Italy,2024,Motor,35.83,1,2714447.52
UK,2024,Motor,27.57,2,1736716.54
Other,2024,Motor,37.82,3,3326156.48
Netherlands,2024,Motor,40.33,4,4834010.41
Germany,2021,Motor,43.69,2,3706331.96
Turkey,2018,Motor,38.16,5,3118824.89
Netherlands,2021,Motor,63.55,4,15662574.05
Other,2024,Motor,66.71,4,14757802.29
Turkey,2021,Motor,39.69,2,2403250.25
Other,2022,Motor,26.59,3,1099106.14
Turkey,2020,Motor,12.06,3,139828.44
Italy,2022,Motor,28.31,5,3110858.47
Other,2024,Motor,33.11,3,2400440.39
France,2024,Catamaran,19.76,1,490814.14
Netherlands,2019,Motor,26.09,3,1054075.54
France,2018,Sailing,32.06,4,1835383.93
Other,2023,Motor,44.16,3,3922985.12
Spain,2019,Motor,35.7,2,1882523.76
Italy,2021,Motor,8.83,2,74648.48
France,2021,Sailing,13.08,1,122958.42
Spain,2022,Sailing,21.46,1,499113.76
Other,2024,Motor,8.38,1,53798.39
France,2020,Motor,83.21,2,19025882.94
Italy,2023,Motor,33.31,1,1615565.79
USA,2019,Catamaran,29.46,3,1410591.58
Other,2023,Motor,22.18,2,656583.14
Other,2024,Motor,99.6,3,36647681.28
Other,2021,Motor,41.65,4,4006794.12
Italy,2023,Motor,33.05,3,2511387.85
USA,2024,Sailing,21.95,4,1147790.36
Turkey,2021,Motor,34.43,3,1748859.13
Italy,2021,Motor,38.9,3,3712301.73
Greece,2022,Motor,9.66,2,80782.77
Italy,2022,Motor,36.7,5,6387505.47
France,2019,Motor,35.43,5,3761318.7
UK,2024,Motor,37.16,2,3364471.33
USA,2020,Motor,33.53,3,2254412.81
Netherlands,2021,Sailing,15.09,3,235695.59
Other,2018,Motor,69.76,4,12607759.08
Greece,2020,Sailing,9.24,4,75765.01
USA,2019,Sailing,27.17,4,1191121.73
USA,2024,Motor,77.37,4,30278581.91
Other,2021,Motor,37.25,2,1816002.98
UK,2023,Motor,28.97,4,2214667.87
Turkey,2023,Sailing,44.13,3,3382670.19
Italy,2020,Motor,29.07,4,1939501.35
Greece,2019,Motor,61.61,3,7991479.11
Netherlands,2023,Sailing,19.33,2,552826.56
Greece,2024,Sailing,23.95,4,1103085.16
Other,2019,Motor,41.98,3,3302373.46
Other,2022,Motor,37.09,3,2752218.57
Italy,2024,Motor,42.59,4,6747730.29
Turkey,2024,Motor,72.1,3,16242239.38
Italy,2018,Motor,62.5,3,9249552.26
France,2024,Motor,44.65,2,4848854.91
Turkey,2021,Motor,17.48,3,345352.35
France,2020,Motor,36.92,5,4632021.21
Italy,2020,Motor,6.0,5,50294.76
Greece,2019,Motor,16.14,5,408139.35
Netherlands,2021,Motor,25.71,5,1847875.12
Italy,2019,Motor,30.24,3,1715724.2
Other,2018,Motor,34.5,5,3239445.14
USA,2022,Catamaran,21.68,1,502666.17
Netherlands,2024,Motor,29.67,1,1354592.49
Spain,2020,Motor,47.16,3,4279549.1
Italy,2020,Motor,40.66,2,3145186.42
Italy,2018,Sailing,17.5,3,362625.46
Other,2018,Motor,47.28,4,4440082.07
USA,2020,Motor,35.89,2,2097256.13
France,2023,Motor,35.94,1,2233187.45
Turkey,2018,Motor,107.9,1,19269622.63
USA,2023,Motor,77.13,3,19608189.74
USA,2019,Sailing,34.63,1,1223271.58
Netherlands,2019,Motor,27.65,2,962172.24
Netherlands,2023,Motor,41.48,2,4147951.03
Italy,2024,Motor,38.8,2,3632478.1
UK,2020,Motor,8.06,2,52969.24
Netherlands,2024,Motor,75.95,4,24958039.57
Spain,2022,Motor,18.83,2,486840.29
Other,2023,Motor,59.0,3,8595728.09
Greece,2024,Motor,33.35,3,2447189.8
Greece,2024,Motor,30.9,4,2251740.05
UK,2023,Sailing,26.03,3,1142965.3
Netherlands,2023,Motor,29.08,2,1771967.68
France,2020,Catamaran,32.81,3,1934587.49
USA,2021,Motor,6.01,1,24430.6
USA,2023,Sailing,39.56,3,3714895.93
Spain,2021,Motor,18.56,1,348648.87
Other,2022,Motor,30.2,5,2576727.7
USA,2021,Motor,37.71,2,2687640.33
Italy,2021,Motor,65.24,5,21626659.86
USA,2018,Motor,10.24,3,103477.96
UK,2019,Motor,41.83,5,5987166.44
Germany,2022,Motor,31.69,3,2279390.14
Other,2019,Motor,33.13,2,1197355.57
Other,2022,Motor,34.5,2,2008554.69
Italy,2022,Motor,44.45,3,4779886.26
Turkey,2018,Motor,28.9,3,1105661.88
Italy,2022,Motor,6.74,4,63089.86
Turkey,2018,Motor,31.65,2,1107049.09
Turkey,2019,Motor,141.23,4,65086278.41
France,2022,Motor,43.49,1,3506413.42
Other,2022,Motor,10.81,4,155241.4
Italy,2024,Motor,38.66,5,8399366.21
Italy,2022,Motor,39.46,5,5890888.98
USA,2024,Motor,28.68,4,2390708.28
USA,2022,Motor,27.96,5,2497362.48
Greece,2021,Motor,6.48,2,26564.96
Other,2018,Motor,79.03,2,11905576.18
Other,2020,Motor,47.88,2,3925545.5
Greece,2018,Motor,44.66,4,4367776.15
Other,2019,Sailing,10.57,4,94246.57
UK,2021,Motor,6.82,2,33356.38
Turkey,2018,Motor,70.92,4,11855884.06
Germany,2021,Motor,15.68,3,327761.98
Turkey,2022,Sailing,40.96,5,4260763.47
France,2021,Catamaran,25.46,1,626757.74
USA,2024,Motor,19.61,3,830328.85
France,2024,Motor,7.81,2,60251.9
USA,2021,Sailing,34.56,2,2082567.58
France,2023,Catamaran,7.35,4,61598.31
Italy,2023,Motor,32.85,1,1788654.46
Italy,2023,Sailing,34.54,3,2809765.05
Other,2022,Motor,24.28,3,810176.87
USA,2021,Catamaran,14.1,1,178868.15
USA,2020,Motor,48.34,3,5069282.33
Other,2018,Sailing,55.65,5,7620950.2
France,2023,Motor,68.84,3,15590344.42
USA,2024,Sailing,26.82,3,1413272.3
UK,2021,Motor,11.38,2,154196.14
Other,2022,Motor,41.2,2,2958776.06
Italy,2023,Motor,37.14,5,5109804.31
Spain,2024,Motor,26.85,3,1536415.87
Other,2024,Motor,49.0,3,5925557.97
Spain,2023,Motor,25.99,2,934100.77
Netherlands,2019,Motor,65.56,4,11788272.71
USA,2023,Motor,38.54,1,2998996.22
Other,2018,Sailing,27.68,5,1430829.01
USA,2021,Motor,30.79,2,1582427.43
USA,2021,Motor,137.01,2,60940897.41
Netherlands,2020,Motor,45.35,3,4141588.1
Germany,2018,Motor,42.99,2,3168114.9
Netherlands,2021,Motor,26.75,4,1646650.51
Greece,2022,Motor,36.59,5,4197349.31
UK,2022,Motor,12.89,2,194273.52
USA,2021,Motor,131.0,2,54581413.87
Other,2023,Motor,37.32,4,3939340.38
UK,2018,Motor,27.67,4,1155830.88
USA,2019,Motor,66.35,2,10567222.37
UK,2018,Motor,9.6,1,61434.93
Turkey,2024,Motor,23.38,4,1153514.86
